Татарчага	татарча+N+Sg+DIR(ГА);
яраткан	яра+V+CAUS(т)+PCP_PS(ГАн);яра+V+CAUS(т)+PST_INDF(ГАн);ярат+V+PCP_PS(ГАн);ярат+V+PST_INDF(ГАн);
Поттерым	поттер+N+Sg+POSS_1SG(Ым)+Nom;
булмасамы	бул+V+NEG(мА)+COND(сА)+INT(мЫ);
!	Type1
ЛИЛИЯ	лилия+PROP+Sg+Nom;
:	Type2
Минем	мин+PN+GEN(нЫң);
фокусны	фокус+N+Sg+ACC(нЫ);
күрсәтәсеңме	күрсәт+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+INT(мЫ);күрсәт+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
?	Type1
РОН	Rus
:	Type2
Уңган	уң+V+PCP_PS(ГАн);уң+V+PST_INDF(ГАн);уңган+Adj;
Уйдырмачы	уй+V+CAUS(ДЫр)+NEG(мА)+PREC_1(чЫ);уйдыр+V+NEG(мА)+PREC_1(чЫ);уйдырма+N+PROF(чЫ)+Sg+Nom;
Уизлиларның	уизлиларн+N+Sg+POSS_2SG(Ың)+Nom;уизли+N+PL(ЛАр)+GEN(нЫң);
данлыклы	дан+N+NMLZ(лЫк)+Sg+ATTR_MUN(лЫ);дан+N+PSBL(лЫк)+ATTR_MUN(лЫ);
борын-урлау-һавасын	Error
көтәсеңме	көт+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+INT(мЫ);көт+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
?	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
әни	әни+N+Sg+Nom;
!	Type1
әти	әти+N+Sg+Nom;
тагын	тагын+Adv;
бу	бу+PN;
кеше	кеше+N+Sg+Nom;
ышанмаслык	ышан+V+PCP_FUT(мАс)+NMLZ(лЫк)+Sg+Nom;ышан+V+PCP_FUT(мАс)+PSBL(лЫк);
әкиятен	әкият+N+Sg+POSS_3(СЫ)+ACC(нЫ);
ясарга	яса+V+INF_1(ЫргА);
җыена	җый+V+REFL(Ын)+PRES(Й);
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Син	син+PN;
кеше	кеше+N+Sg+Nom;
ышанмаслык	ышан+V+PCP_FUT(мАс)+NMLZ(лЫк)+Sg+Nom;ышан+V+PCP_FUT(мАс)+PSBL(лЫк);
дисең	ди+V+PRES(Й)+2SG(сЫң);
,	Type2
ул	ул+N+Sg+Nom;ул+PN;
искиткеч	искиткеч+Adv;
дип	ди+V+ADVV_ACC(Ып);
сөйли	сөйлә+V+PRES(Й);
,	Type2
ә	ә+PART;
мин	мин+PN;
әйтәм	әйт+V+PRES(Й)+1SG(м);
:	Type2
шуларның	шул+PN+PL(ЛАр)+GEN(нЫң);
уртасындарак	уртасындарак+N+Sg+Nom;
торган	тор+V+PCP_PS(ГАн);тор+V+PST_INDF(ГАн);
бер	бер+Num;бер+PN;
нәрсә	нәрсә+PN;
инде	инде+PART;
бу	бу+PN;
.	Type1
РОН	Rus
:	Type2
Чак	чак+N+Sg+Nom;чак+V+IMP_SG();
кына	кына+PART;
көт	көт+V+IMP_SG();
.	Type1
Хәзер	хәзер+Adv;
мин	мин+PN;
чәйним	чәйнә+V+HOR_SG(Йм);чәйнә+V+PRES(Й)+1SG(м);
дә	дә+PART;
бу…	Error
һаваны	һава+N+Sg+ACC(нЫ);
.	Type1
Тәк	тәк+N+Sg+Nom;
,	Type2
ә	ә+PART;
хәзер	хәзер+Adv;
бик	бик+Adv;
җиңел	җиң+V+PASS(Ыл)+IMP_SG();җиңел+Adj;җиңел+V+IMP_SG();
генә…	Error
Миннән	мин+PN+ABL(ДАн);
бераз	бераз+Adv;
сарымсак	сарымсак+N+Sg+Nom;
исе	ис+N+Sg+POSS_3(СЫ)+Nom;
килсә	кил+V+COND(сА);
,	Type2
гафу…	Error
Ул	ул+N+Sg+Nom;ул+PN;
ЛИЛИЯнең	лилия+PROP+GEN(нЫң);
йөзенә	йөз+N+Sg+POSS_3(СЫ)+DIR(ГА);йөз+Num+POSS_3(СЫ)+DIR(ГА);йөз+V+REFL(Ын)+PRES(Й);
өрә	өр+V+PRES(Й);
.	Type1
ЛИЛИЯ	лилия+PROP+Sg+Nom;
көлә	көл+V+PRES(Й);
.	Type1
10	Num
ЛИЛИЯ	лилия+PROP+Sg+Nom;
:	Type2
Синнән	син+PN+ABL(ДАн);
ботка	бот+N+Sg+DIR(ГА);ботка+N+Sg+Nom;
исе	ис+N+Sg+POSS_3(СЫ)+Nom;
килә	кил+V+PRES(Й);
.	Type1
РОН	Rus
:	Type2
Бим	бим+N+Sg+Nom;
!	Type1
Бам	Rus
!	Type1
Бум	бум+N+Sg+Nom;
!	Type1
Яшь	яшь+Adj;яшь+N+Sg+Nom;
туташ	туташ+N+Sg+Nom;
,	Type2
хәзер	хәзер+Adv;
барлык	бар+N+NMLZ(лЫк)+Sg+Nom;бар+N+PSBL(лЫк);барлык+PN;
исләрдән	ис+N+PL(ЛАр)+ABL(ДАн);
дә	дә+PART;
мәхрүм	мәхрүм+Adj;
калырга	кал+V+INF_1(ЫргА);
әзерләнегез…	Error
Ул	ул+N+Sg+Nom;ул+PN;
аның	ул+PN+GEN(нЫң);
борынын	бор+V+REFL(Ын)+REFL(Ын)+IMP_SG();борын+N+Sg+POSS_3(СЫ)+ACC(нЫ);
тартып	тарт+V+ADVV_ACC(Ып);
ала	ал+V+PRES(Й);ала+Adj;
.	Type1
ЛИЛИЯ	лилия+PROP+Sg+Nom;
:	Type2
Кая	кая+PN;
минем	мин+PN+GEN(нЫң);
борыным	борын+N+Sg+POSS_1SG(Ым)+Nom;
?	Type1
РОН	Rus
:	Type2
Та-да	та-+N+Sg+Nom+PART(ДА);та-+N+Sg+LOC(ДА);
!	Type1
Аның	ул+PN+GEN(нЫң);
кулы	кул+N+Sg+POSS_3(СЫ)+Nom;
буш	буш+Adj;
.	Type1
Бу	бу+PN;
беркатлы	беркатлы+Adj;
шаярту	шаяр+V+CAUS(т)+VN_1(у/ү/в)+Nom;
гына	гына+PART;
.	Type1
Бу	бу+PN;
беркатлылык	беркатлы+Adj+NMLZ(лЫк)+Sg+Nom;беркатлы+Adj+PSBL(лЫк);
һәркемне	һәркем+PN+ACC(нЫ);
елмаерга	елмай+V+INF_1(ЫргА);
мәҗбүр	мәҗбүр+Adj;
итә	и+V+CAUS(т)+PRES(Й);ит+V+PRES(Й);
.	Type1
ЛИЛИЯ	лилия+PROP+Sg+Nom;
:	Type2
җүләр	җүләр+Adj;
син	син+PN;
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Тагын	тагын+Adv;
бөтен	бөтен+PN;
кеше	кеше+N+Sg+Nom;
безгә	без+PN+DIR(ГА);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
.	Type1
РОН	Rus
:	Type2
Чөнки	чөнки+CNJ;
сезнең	сез+PN+GEN(нЫң);
арагызда	ара+N+Sg+POSS_2PL(ЫгЫз)+LOC(ДА);
мин	мин+PN;
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
!	Type1
Мин	мин+PN;
галәмәт	галәмәт+Adj;
танылган	таны+V+PASS(Ыл)+PCP_PS(ГАн);таны+V+PASS(Ыл)+PST_INDF(ГАн);таныл+V+PCP_PS(ГАн);таныл+V+PST_INDF(ГАн);
кеше	кеше+N+Sg+Nom;
.	Type1
Минем	мин+PN+GEN(нЫң);
борын	бор+N+Sg+POSS_3(СЫ)+ACC(нЫ);бор+PROP+POSS_3(СЫ)+ACC(нЫ);бор+V+REFL(Ын)+IMP_SG();борын+N+Sg+Nom;
экспериментлары	эксперимент+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
риваятьләр	риваять+N+PL(ЛАр)+Nom;
йөри	йөр+V+PRES(Й);
хәтта	хәтта+PART;
!	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Алар	алар+PN;
,	Type2
чыннан	чын+Adj+Sg+ABL(ДАн);
да	да+PART;
,	Type2
легендар	легендар+N+Sg+Nom;
ахрысы	ахрысы+PART;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Машинаңны	машина+N+Sg+POSS_2SG(Ың)+ACC(нЫ);
куя	куй+V+PRES(Й);
алдың	ал+N+Sg+POSS_2SG(Ың)+Nom;ал+V+PST_DEF(ДЫ)+2SG(ң);
,	Type2
димәк	ди+V+INF_2(мАк);
?	Type1
РОН	Rus
:	Type2
Куйдым	куй+V+PST_DEF(ДЫ)+1SG(м);
.	Type1
һермиона	һермиона+N+Sg+Nom;
минем	мин+PN+GEN(нЫң);
машина	машина+N+Sg+Nom;
йөртү	йөр+V+CAUS(т)+VN_1(у/ү/в)+Nom;йөрт+V+VN_1(у/ү/в)+Nom;
өчен	өчен+POST;
маглл	маглл+N+Sg+Nom;
имтиханын	имтихан+N+Sg+POSS_3(СЫ)+ACC(нЫ);
бирә	бир+V+PRES(Й);
алуыма	ал+V+VN_1(у/ү/в)+POSS_1SG(Ым)+DIR(ГА);
һаман	һаман+Adv;
ышанмый	ышан+V+NEG(мА)+PRES(Й);
,	Type2
шулай	шулай+PN;
бит	бит+N+Sg+Nom;бит+PART;
?	Type1
Инструкторны	инструктор+N+Sg+ACC(нЫ);
Конфундус	конфундус+N+Sg+Nom;
белән	белән+POST;
сихерләгәнсеңдер	сихерлә+V+PCP_PS(ГАн)+2SG(сЫң)+PROB(ДЫр);сихерлә+V+PST_INDF(ГАн)+2SG(сЫң)+PROB(ДЫр);
дип	ди+V+ADVV_ACC(Ып);
уйлап	уйла+V+ADVV_ACC(Ып);
йөри	йөр+V+PRES(Й);
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Андый	андый+Adj;андый+PN;
уйларның	уй+N+PL(ЛАр)+GEN(нЫң);
минем	мин+PN+GEN(нЫң);
башыма	баш+N+Sg+POSS_1SG(Ым)+DIR(ГА);
да	да+PART;
килгәне	кил+V+PCP_PS(ГАн)+POSS_3(СЫ)+Nom;
юк	юк+MOD;
,	Type2
мин	мин+PN;
бит	бит+N+Sg+Nom;бит+PART;
сиңа	син+PN+DIR(ГА);
тулысынча	тулы+Adj+Sg+POSS_3(СЫ)+EQU(чА);
ышанам	ышан+V+PRES(Й)+1SG(м);
.	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
ә	ә+PART;
мин	мин+PN;
аның	ул+PN+GEN(нЫң);
Конфундус	конфундус+N+Sg+Nom;
куллануында	куллан+V+VN_1(у/ү/в)+POSS_3(СЫ)+LOC(ДА);
шикләнмим	шиклән+V+NEG(мА)+HOR_SG(Йм);шиклән+V+NEG(мА)+PRES(Й)+1SG(м);
дә	дә+PART;
.	Type1
РОН	Rus
:	Type2
Эй	эй+INTRJ;
!	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
әти…	Error
АЛЬБУС	альбус+N+Sg+Nom;
һАРРИның	һаррин+N+Sg+POSS_2SG(Ың)+Nom;һарри+N+Sg+GEN(нЫң);
мантиясен	мантия+N+Sg+POSS_3(СЫ)+ACC(нЫ);
тарта	тарт+V+PRES(Й);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
аңа	ул+PN+DIR(ГА);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
.	Type1
әгәр	әгәр+CNJ;
дә	дә+PART;
мин…	Error
әгәр	әгәр+CNJ;
дә	дә+PART;
мин	мин+PN;
Слизеринга	слизерин+N+Sg+DIR(ГА);
эләксәм…	Error
син	син+PN;
нәрсә	нәрсә+PN;
диярсең…	Error
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Шулай	шулай+PN;
була	бул+V+PRES(Й);
калса	кал+V+COND(сА);
да	да+PART;
,	Type2
нәрсәсе	нәрсә+PN+POSS_3(СЫ)+Nom;
начар	начар+Adj;
соң	соң+Adv;соң+N+Sg+Nom;соң+PART;соң+POST;
аның	ул+PN+GEN(нЫң);
?	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Слизерин	слизерин+N+Sg+Nom;
бит	бит+N+Sg+Nom;бит+PART;
Елан	ела+V+REFL(Ын)+IMP_SG();елан+N+Sg+Nom;
Йорты	йорт+N+Sg+POSS_3(СЫ)+Nom;
,	Type2
Сихерчеләр	сихер+N+PROF(чЫ)+PL(ЛАр)+Nom;
Йорты…	Error
Анда	анда+PN;ул+PN+LOC(ДА);
кыю	кый+V+VN_1(у/ү/в)+Nom;кыю+Adj;
тылсымчылар	тылсым+N+PROF(чЫ)+PL(ЛАр)+Nom;
юк	юк+MOD;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Альбус	альбус+N+Sg+Nom;
Северус	северус+N+Sg+Nom;
,	Type2
без	без+N+Sg+Nom;без+PN;
сиңа	син+PN+DIR(ГА);
кайчандыр	кайчан+Adv+PROB(ДЫр);кайчан+PN+PROB(ДЫр);
һогвартсның	һогвартсн+N+Sg+POSS_2SG(Ың)+Nom;һогвартс+N+Sg+GEN(нЫң);
директоры	директор+N+Sg+POSS_3(СЫ)+Nom;
булган	бул+V+PCP_PS(ГАн);бул+V+PST_INDF(ГАн);
ике	ике+Num;
кешенең	кеше+N+GEN(нЫң);
исемен	исем+N+Sg+POSS_3(СЫ)+ACC(нЫ);
куштык	куш+V+PST_DEF(ДЫ)+1PL(к);
.	Type1
Шуларның	шул+PN+PL(ЛАр)+GEN(нЫң);
берсе	бер+PN+POSS_3(СЫ)+Nom;
Слизериннан	слизериннан+N+Sg+Nom;
иде	и+V+PST_DEF(ДЫ);
,	Type2
һәм	һәм+CNJ;
,	Type2
бәлки	бәлки+CNJ;
,	Type2
ул	ул+N+Sg+Nom;ул+PN;
мин	мин+PN;
белгән	бел+V+PCP_PS(ГАн);бел+V+PST_INDF(ГАн);
иң	иң+N+Sg+Nom;иң+PART;иң+V+IMP_SG();
кыю	кый+V+VN_1(у/ү/в)+Nom;кыю+Adj;
кешедер	кеш+N+Sg+POSS_3(СЫ)+Nom+3SG(ДЫр);кеш+N+Sg+POSS_3(СЫ)+Nom+PROB(ДЫр);кеше+N+Sg+3SG(ДЫр);кеше+N+Sg+Nom+PROB(ДЫр);
.	Type1
11	Num
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
әгәр	әгәр+CNJ;
дә…	Error
һАРРИ	һарри+N+Sg+Nom;
:	Type2
әгәр	әгәр+CNJ;
бу	бу+PN;
синең	син+PN+GEN(нЫң);
өчен	өчен+POST;
бик	бик+Adv;
мөһим	мөһим+Adj+Sg;
икән	икән+MOD;икән+PART;
,	Type2
Бүлүче	бүл+V+VN_1(у/ү/в)+PCP_PR(чЫ);бүл+V+VN_1(у/ү/в)+PROF(чЫ)+Sg+Nom;
Эшләпә	эшләпә+N+Sg+Nom;
синең	син+PN+GEN(нЫң);
теләгеңне	теләк+N+Sg+POSS_2SG(Ың)+ACC(нЫ);
истә	ис+N+Sg+LOC(ДА);ис+V+CAUS(т)+PRES(Й);
тотачак	тот+V+FUT_DEF(АчАк);тот+V+PCP_FUT(АчАк);
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Чыннан	чын+Adj+Sg+ABL(ДАн);
дамы	да+PART+INT(мЫ);
?	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Минекен	ми+N+Sg+ATTR_GEN(нЫкЫ)+Sg+ACC(нЫ);
исәпкә	исәп+N+Sg+DIR(ГА);
алган	ал+V+PCP_PS(ГАн);ал+V+PST_INDF(ГАн);
иде	и+V+PST_DEF(ДЫ);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
,	Type2
моңарчы	моңарчы+Adv;
бу	бу+PN;
турыда	туры+Adj+Sg+LOC(ДА);турыда+POST;
беркайчан	беркайчан+Adv;
да	да+PART;
сөйләгәне	сөйлә+V+PCP_PS(ГАн)+POSS_3(СЫ)+Nom;
булмаганын	бул+V+NEG(мА)+PCP_PS(ГАн)+POSS_3(СЫ)+ACC(нЫ);бул+V+NEG(мА)+PST_INDF(ГАн)+POSS_3(СЫ)+ACC(нЫ);
аңлап	аң+N+DISTR(лАп);аңла+V+ADVV_ACC(Ып);
,	Type2
бермәлгә	бермәл+N+Sg+DIR(ГА);
тынып	тын+V+ADVV_ACC(Ып);
кала	кал+V+PRES(Й);кала+N+Sg+Nom;
.	Type1
һогвартс	һогвартс+N+Sg+Nom;
синең	син+PN+GEN(нЫң);
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
кайгыртачак	кайгыр+V+CAUS(т)+FUT_DEF(АчАк);кайгыр+V+CAUS(т)+PCP_FUT(АчАк);кайгырт+V+FUT_DEF(АчАк);кайгырт+V+PCP_FUT(АчАк);
,	Type2
Альбус	альбус+N+Sg+Nom;
.	Type1
Вәгъдә	вәгъдә+N+Sg+Nom;
бирәм	бир+V+PRES(Й)+1SG(м);
:	Type2
анда	анда+PN;ул+PN+LOC(ДА);
куркырлык	курк+V+PCP_FUT(Ыр)+NMLZ(лЫк)+Sg+Nom;курк+V+PCP_FUT(Ыр)+PSBL(лЫк);
бернәрсә	бернәрсә+PN;
дә	дә+PART;
юк	юк+MOD;
.	Type1
ДЖЕЙМС	Rus
:	Type2
Фестраллардан	фестрал+N+PL(ЛАр)+ABL(ДАн);
кала	кал+V+PRES(Й);кала+N+Sg+Nom;
.	Type1
Фестраллар	фестрал+N+PL(ЛАр)+Nom;
белән	белән+POST;
сак	сак+N+Sg+Nom;сак+PROP+Sg+Nom;
бул	бул+V+IMP_SG();
!	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Мин	мин+PN;
алар	алар+PN;
күзгә	күз+N+Sg+DIR(ГА);
күренмиләр	күр+V+REFL(Ын)+NEG(мА)+PRES(Й)+3PL(ЛАр);күрен+V+NEG(мА)+PRES(Й)+3PL(ЛАр);
дип	ди+V+ADVV_ACC(Ып);
уйлаган	уйла+V+PCP_PS(ГАн);уйла+V+PST_INDF(ГАн);
идем	и+V+PST_DEF(ДЫ)+1SG(м);
!	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Профессорларыңны	профессор+N+PL(ЛАр)+POSS_2SG(Ың)+ACC(нЫ);
тыңла	тыңла+V+IMP_SG();
,	Type2
Джеймсны	джеймсн+N+Sg+POSS_3(СЫ)+Nom;джеймс+N+Sg+ACC(нЫ);
түгел	түгел+PART;
,	Type2
һәм	һәм+CNJ;
күңел	күңел+N+Sg+Nom;
ачарга	ач+V+INF_1(ЫргА);
да	да+PART;
онытма	оныт+V+NEG(мА)+IMP_SG();
.	Type1
ә	ә+PART;
хәзер	хәзер+Adv;
,	Type2
поезд	поезд+N+Sg+Nom;
сине	син+PN+ACC(нЫ);
калдырып	кал+V+CAUS(ДЫр)+ADVV_ACC(Ып);калдыр+V+ADVV_ACC(Ып);
китмәсен	ки+V+CAUS(т)+NEG(мА)+JUS_SG(сЫн);кит+V+NEG(мА)+JUS_SG(сЫн);
дисәң	ди+V+COND(сА)+2SG(ң);
,	Type2
вагонга	вагон+N+Sg+DIR(ГА);
кереп	кер+V+ADVV_ACC(Ып);
өлгерергә	өлгер+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
.	Type1
ЛИЛИЯ	лилия+PROP+Sg+Nom;
:	Type2
Мин	мин+PN;
поезд	поезд+N+Sg+Nom;
артыннан	арт+Adj+Sg+POSS_3(СЫ)+ABL(ДАн);артыннан+POST;
йөгерәчәкмен	йөгер+V+FUT_DEF(АчАк)+1SG(мЫн);йөгер+V+PCP_FUT(АчАк)+1SG(мЫн);
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Лилия	лилия+PROP+Sg+Nom;
,	Type2
шунда	шул+PN+LOC(ДА);
ук	ук+N+Sg+Nom;ук+PART;
кире	кире+Adj;кире+Adv;
кайт	кайт+V+IMP_SG();
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Роза	роза+N+Sg+Nom;
,	Type2
Невиллга	невилл+N+Sg+DIR(ГА);
сәлам	сәлам+INTRJ;сәлам+N+Sg+Nom;
әйтергә	әйт+V+INF_1(ЫргА);
онытма	оныт+V+NEG(мА)+IMP_SG();
.	Type1
РОЗА	роза+N+Sg+Nom;
:	Type2
әни	әни+N+Sg+Nom;
,	Type2
мин	мин+PN;
профессорга	профессор+N+Sg+DIR(ГА);
сәлам	сәлам+INTRJ;сәлам+N+Sg+Nom;
әйтә	әйт+V+PRES(Й);
алмыйм	ал+V+NEG(мА)+HOR_SG(Йм);ал+V+NEG(мА)+PRES(Й)+1SG(м);
бит	бит+N+Sg+Nom;бит+PART;
инде	инде+PART;
!	Type1
РОЗА	роза+N+Sg+Nom;
поездга	поезд+N+Sg+DIR(ГА);
керә	кер+V+PRES(Й);
.	Type1
Аннары	аннары+PN;
АЛЬБУС	альбус+N+Sg+Nom;
,	Type2
РОЗА	роза+N+Sg+Nom;
артыннан	арт+Adj+Sg+POSS_3(СЫ)+ABL(ДАн);артыннан+POST;
кереп	кер+V+ADVV_ACC(Ып);
киткәнче	ки+V+CAUS(т)+ADVV_SUCC(ГАнчЫ);кит+V+ADVV_SUCC(ГАнчЫ);
,	Type2
артка	арт+Adj+Sg+DIR(ГА);
борыла	бор+V+PASS(Ыл)+PRES(Й);борыл+V+PRES(Й);
һәм	һәм+CNJ;
ДЖИННИ	джинни+N+Sg+Nom;
белән	белән+POST;
һАРРИны	һаррин+N+Sg+POSS_3(СЫ)+Nom;һарри+N+Sg+ACC(нЫ);
соңгы	соңгы+Adj;
тапкыр	тапкыр+Adj;тапкыр+N+Sg+Nom;
кочаклый	кочакла+V+PRES(Й);
.	Type1
АЛЬБУС	альбус+N+Sg+Nom;
:	Type2
Ярый	яра+V+PRES(Й);ярый+MOD;
.	Type1
Хуш	хуш+Adj;хуш+INTRJ;
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
вагонга	вагон+N+Sg+DIR(ГА);
керә	кер+V+PRES(Й);
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
,	Type2
ДЖИННИ	джинни+N+Sg+Nom;
,	Type2
РОН	Rus
һәм	һәм+CNJ;
һАРРИ	һарри+N+Sg+Nom;
платформадан	платформа+N+Sg+ABL(ДАн);
сызгырта-сызгырта	сызгырта-сызгырта+N+Sg+Nom;
кузгалып	кузгал+V+ADVV_ACC(Ып);
киткән	ки+V+CAUS(т)+PCP_PS(ГАн);ки+V+CAUS(т)+PST_INDF(ГАн);кит+V+PCP_PS(ГАн);кит+V+PST_INDF(ГАн);
поездга	поезд+N+Sg+DIR(ГА);
карап	кара+V+ADVV_ACC(Ып);
басып	бас+V+ADVV_ACC(Ып);
торалар	тор+V+PRES(Й)+3PL(ЛАр);тора+N+PL(ЛАр)+Nom;
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Аларга	алар+PN+DIR(ГА);
анда	анда+PN;ул+PN+LOC(ДА);
яхшы	яхшы+Adj;яхшы+Adv;
булыр	бул+V+FUT_INDF(Ыр);бул+V+PCP_FUT(Ыр);
,	Type2
шулай	шулай+PN;
бит	бит+N+Sg+Nom;бит+PART;
?	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
һогвартс	һогвартс+N+Sg+Nom;
–	Type2
бөек	бөек+Adj;
җир	җир+N+Sg+Nom;
ул	ул+N+Sg+Nom;ул+PN;
.	Type1
РОН	Rus
:	Type2
Бөек	бөек+Adj;
.	Type1
Искиткеч	искиткеч+Adv;
.	Type1
Ризык	ризык+N+Sg+Nom;
белән	белән+POST;
тулы	тулы+Adj;
.	Type1
Анда	анда+PN;ул+PN+LOC(ДА);
кире	кире+Adj;кире+Adv;
кайту	кайт+V+VN_1(у/ү/в)+Nom;
хакына	хакына+POST;
берни	берни+PN;
дә	дә+PART;
кызганмас	кызган+V+FUT_INDF_NEG(мАс);кызган+V+PCP_FUT(мАс);
идем	и+V+PST_DEF(ДЫ)+1SG(м);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Сәер	сәер+Adj;
,	Type2
Ал	ал+Adj;ал+N+Sg+Nom;ал+PN;ал+V+IMP_SG();
Слизеринга	слизерин+N+Sg+DIR(ГА);
эләгүдән	эләк+V+VN_1(у/ү/в)+ABL(ДАн);
куркып	курк+V+ADVV_ACC(Ып);
борчылган	борчы+V+PASS(Ыл)+PCP_PS(ГАн);борчы+V+PASS(Ыл)+PST_INDF(ГАн);борчыл+V+PCP_PS(ГАн);борчыл+V+PST_INDF(ГАн);
иде	и+V+PST_DEF(ДЫ);
.	Type1
12	Num
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Бу	бу+PN;
нәрсә	нәрсә+PN;
әле	әле+CNJ;әле+PART;
,	Type2
менә	мен+V+PRES(Й);менә+PART;
Роза	роза+N+Sg+Nom;
квиддич	квиддич+N+Sg+Nom;
буенча	буенча+POST;
беренче	бер+Num+NUM_ORD(ЫнчЫ);
яки	яки+CNJ;
икенче	ике+Num+NUM_ORD(ЫнчЫ);
ел	ел+N+Sg+Nom;
өчен	өчен+POST;
рекордларны	рекорд+N+PL(ЛАр)+ACC(нЫ);
уздыра	уз+V+CAUS(ДЫр)+PRES(Й);уздыр+V+PRES(Й);
алырмын	ал+V+FUT_INDF(Ыр)+1SG(мЫн);ал+V+PCP_FUT(Ыр)+1SG(мЫн);
микән	микән+PART;
дип	ди+V+ADVV_ACC(Ып);
борчыла	борчы+V+PASS(Ыл)+PRES(Й);борчыл+V+PRES(Й);
.	Type1
Аптырагач	аптыра+V+ADVV_ANT(ГАч);
,	Type2
ЯБАЛАК	ябалак+N+Sg+Nom;
имтиханнарын	имтихан+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);
иртәрәк	иртә+Adv+COMP(рАк)+Sg+Nom;
бирү	бир+V+VN_1(у/ү/в)+Nom;
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
кайгыра	кайгыр+V+PRES(Й);
башлады	башла+V+PST_DEF(ДЫ);
.	Type1
РОН	Rus
:	Type2
Белмим	бел+V+NEG(мА)+HOR_SG(Йм);бел+V+NEG(мА)+PRES(Й)+1SG(м);
,	Type2
кемгә	кем+PN+DIR(ГА);
охшап	охша+V+ADVV_ACC(Ып);
шулкадәр	шулкадәр+Adv;
амбицияле	амбиция+N+ATTR_MUN(лЫ);
баладыр	бала+N+Sg+3SG(ДЫр);бала+N+Sg+Nom+PROB(ДЫр);
ул	ул+N+Sg+Nom;ул+PN;
!	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
һарри	һарри+N+Sg+Nom;
,	Type2
әгәр	әгәр+CNJ;
Ал	ал+Adj;ал+N+Sg+Nom;ал+PN;ал+V+IMP_SG();
чыннан	чын+Adj+Sg+ABL(ДАн);
да	да+PART;
Слизеринга	слизерин+N+Sg+DIR(ГА);
эләксә	эләк+V+COND(сА);
,	Type2
син	син+PN;
үзеңне	үз+PN+POSS_2SG(Ың)+ACC(нЫ);
ничек	ничек+PN;
хис	хис+N+Sg+Nom;
итәрсең	и+V+CAUS(т)+PCP_FUT(Ыр)+2SG(сЫң);ит+V+PCP_FUT(Ыр)+2SG(сЫң);
?	Type1
РОН	Rus
:	Type2
Беләсеңме	бел+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
,	Type2
Джинни	джинни+N+Sg+Nom;
,	Type2
без	без+N+Sg+Nom;без+PN;
гомер	гомер+N+Sg+Nom;
бакый	бакый+N+Sg+Nom;
сине	син+PN+ACC(нЫ);
Слизеринга	слизерин+N+Sg+DIR(ГА);
җибәрерләр	җибәр+V+FUT_INDF(Ыр)+3PL(ЛАр);җибәр+V+PCP_FUT(Ыр)+3PL(ЛАр);
